BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

Espinosa, Fernan: Mi vida por un libro. Colombia: Editorial Impresos Josmar, 2001.	Espinosa, Fernan	Mi vida por un libro	2001	Primera edición	Ficción	Escrito	Libro	Novela	Colombia	Caribe continental	Ficción		percepción de los muertos estuviera más cerca de la frialdad, que de la ardentía cotidiana. Siempre he sentido una fascinación irresistible por esos momentos culminantes de la naturaleza; ese tránsito abrupto de sol bravio a la niebla repentina que todo lo enfría y nos sume en esa placidez envidiable de poseer un rigor climático, tachonado de esquirlas frías y tolerables.
Espinosa, Fernan: Mi vida por un libro. Colombia: Editorial Impresos Josmar, 2001.	Espinosa, Fernan	Mi vida por un libro	2001	Primera edición	Ficción	Escrito	Libro	Novela	Colombia	Caribe continental	Ficción		Llevas siete días de recapitulación y de ahora en adelante tienes que entrar de lleno en el terreno difícil de nuestro proyecto y la presencia de Sonia podría traer los pormenores de una distracción que no te conviene; yo creo que ya recogiste con lujo de detalles hasta las esquirlas más pequeñas de la memoria perdida por tiempos no recordados por nadie y sepultados para siempre bajo el inmenso peso del olvido.
Espinosa, Fernan: Mi vida por un libro. Colombia: Editorial Impresos Josmar, 2001.	Espinosa, Fernan	Mi vida por un libro	2001	Primera edición	Ficción	Escrito	Libro	Novela	Colombia	Caribe continental	Ficción		He llegado hace diez días y he tratado de recomponer las mil y tantas esquirlas de la memoria averiada por el tiempo y los deseos de olvido, que ya me queda muy poco que olvidar. No he podido ver a Adalgisa como quería verla; sus imágenes han sido borrosas y fugaces; además creo que ya no se acuerda de mí como yo me he acordado toda la vida de ella
Herrera, Marcos: Ropa de fuego. Madrid: Lengua de trapo, 2001.	Herrera, Marcos	Ropa de fuego	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		: un payaso. Viven juntos. Él es genial, dice Thapsia. Y es verdad. El tipo tiene talento. Ponen un pequeño espectáculo juntos. Les va bien. Público y dinero. Verano en la costa atlántica. Les va bien. Cuando vuelven, Thapsia deja su trabajo de empleada. 20 años. Esquirlas luminosas viajando hacia ningún lugar, monedas en la vía del tren.
Herrera, Marcos: Ropa de fuego. Madrid: Lengua de trapo, 2001.	Herrera, Marcos	Ropa de fuego	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		Esquirlas aplastadas en la vía del tren, monedas que viajan hacia ningún lugar.
Ehrenhaus, Andrés: La seriedad. Barcelona: Mondadori, 2001.	Ehrenhaus, Andrés	La seriedad	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		Déibit roncaba, acurrucado, y el aire de sus ronquidos mecía su densa pelambre corporal. Greiz se sentó a su lado. Estaba cansada. Entonces vio la pantalla. El impacto la había perforado por el cuadrante superior izquierdo, reduciéndola a esquirlas del tamaño de dientes de leche. El bastidor, que era levísimo, había aguantado en pie, pero el cablerío estaba chamuscado, y las chispas habían dejado manchas por todo arreo. Al menos dos microfogatas se habían iniciado y consumido, probablemente, en pocos segundos, comiéndose parte de la película ignífuga
Ehrenhaus, Andrés: La seriedad. Barcelona: Mondadori, 2001.	Ehrenhaus, Andrés	La seriedad	2001	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción		bastidor, que era levísimo, había aguantado en pie, pero el cablerío estaba chamuscado, y las chispas habían dejado manchas por todo arreo. Al menos dos microfogatas se habían iniciado y consumido, probablemente, en pocos segundos, comiéndose parte de la película ignífuga de la mesa y el diván cama. Alguna esquirla blanca se había incrustado en los paneles de pared, junto a marcas anteriores. No era la primera pantalla que reventaba Déibit. Ni la última. Buscó con la mirada el pepino y lo encontró más allá, despanzurrado como un perico alcanzado por un rayo. Greiz suspiró. Se preguntó, como siempre, para qué necesitaría
Dualte, Javier; Spregelburd, Rafael; Tantanian, Alejandro: La escala humana. Buenos Aires: Ediciones Teatro Vivo, 2001.	Dualte, Javier; Spregelburd, Rafael; Tantanian, Alejandro	La escala humana	2001	Fecha de estreno	Ficción	Escrito	Libro	Teatro	Argentina	Río de la Plata	Ficción		Leandro: Bueno, no lo hace a propósito. Tiene una esquirla en la base del occipital.
Acevedo, Rafael: Exquisito cadáver. San Juan: Ediciones Callejón, 2001.	Acevedo, Rafael	Exquisito cadáver	2001	Primera edición	Ficción	Escrito	Libro	Novela	Puerto Rico	Antillas	Ficción		blanca. A su lado un desvencijado paraguas negro. Era mi camisa. Era mi paraguas. No te preocupes, me dijo Claris, tú vas a investigar el caso. Demasiados, dije yo, demasiados. Tuve la sensación de que ese cuerpo encontrado era un miembro extirpado del mío. Era percibir todavía la esquirla del obús alojada en la mano amputada. Era la presión del reloj y la sortija en un miembro inexistente. ¿Será esto el reverso de la muerte? No te preocupes, habría dicho Claris. ¿Voy a investigarme? No sabría qué buscar. No sabría qué encontrar. Sentí como si mi
Courtoisie, Rafael: Caras Extrañas. Toledo: Ediciones Lengua de Trapo, 2001.	Courtoisie, Rafael	Caras Extrañas	2001	Primera edición	Ficción	Escrito	Libro	Novela	Uruguay	Río de la Plata	Ficción		El niño está en el corral, rodeado de juguetes, junto a una niñera. Estalla el ventanal de la sala. Salta una esquirla de vidrio. Salta con violencia. Se clava en el cuello del niño, justo en la arteria.
Courtoisie, Rafael: Caras Extrañas. Toledo: Ediciones Lengua de Trapo, 2001.	Courtoisie, Rafael	Caras Extrañas	2001	Primera edición	Ficción	Escrito	Libro	Novela	Uruguay	Río de la Plata	Ficción		-¡Hijo de mil putas! -exhala, ya entrecortada, con gotitas de saliva espesa y blanca que al contacto con el aire se disuelven de inmediato como esquirlas de granizo blando-. ¡Hijo de puta! ¡Hijo de puta! -espeta la longitud de la voz al mudo contestador, sin esperar respuesta, sin pausa, en un rosario de vocales y consonantes que acaban por atorarse en el corazón delgado de la cinta magnética y convertirse al fin
Courtoisie, Rafael: Caras Extrañas. Toledo: Ediciones Lengua de Trapo, 2001.	Courtoisie, Rafael	Caras Extrañas	2001	Primera edición	Ficción	Escrito	Libro	Novela	Uruguay	Río de la Plata	Ficción		Al ver una momia egipcia se ven vendas sobre un esqueleto. Nada más. Pero no se trata de eso. A lo largo de toda Italia existen relicarios hechos de esquirlas de hueso. En Nápoles se conserva la sangre de San Genaro en una redoma de vidrio que se extrae periódicamente. En contacto con la luz la sangre del santo se licúa. Si no se licúa, se anuncian catástrofes y epidemias sobre el sur de Italia. En la catedral de Guadalajara, en México, se
Courtoisie, Rafael: Caras Extrañas. Toledo: Ediciones Lengua de Trapo, 2001.	Courtoisie, Rafael	Caras Extrañas	2001	Primera edición	Ficción	Escrito	Libro	Novela	Uruguay	Río de la Plata	Ficción		Al pulsar una tecla lascas, segmentos, guijarros, muestras de sonido, pedazos de un asteroide lejano, esquirlas del pasado.
Piérola, José de: «Mañana lo buscamos». Sur y Norte. Lima: Lluvia Editores, 2001.	Piérola, José de	Sur y Norte	2001	Primera edición	Ficción	Escrito	Libro	Relato	Perú	Andina	Ficción		Como las hormigas no me dejaban ver la herida, arranqué unas hojas para espantarlas, hasta que pude ver la magnitud del daño. Una esquirla de mortero, curva como una garra, se me había incrustado en el muslo izquierdo, salvándome de una hemorragia segura. La sangre se había coagulado en gotones pardos como la cera del altar de una iglesia. No me dolía, pero sí hormigueaba en oleadas sordas, tibias, que me subían hasta la
Piérola, José de: «Mañana lo buscamos». Sur y Norte. Lima: Lluvia Editores, 2001.	Piérola, José de	Sur y Norte	2001	Primera edición	Ficción	Escrito	Libro	Relato	Perú	Andina	Ficción		Martinelli tuvo la sangre fría de cortar la pernera del pantalón para remover la esquirla de mortero, limpiar la herida, llenar el boquete con gasas, luego cerrarlo todo con esparadrapo. En la penumbra de la noche, la sangre que manchaba las gasas se veía negra, mi pierna hinchada parecía la pierna de uno de esos muertos con la boca llena de moscas que encontrábamos en las carreteras.
Subcomandante Marcos: Los del color de la tierra. Textos insurgentes desde Chiapas. Tafalla (Navarra): Txalaparta, 2001.	Subcomandante Marcos	Los del color de la tierra. Textos insurgentes desde Chiapas	2001	Primera edición	No ficción	Escrito	Libro	Política, economía y justicia	México	México y Centroamérica			La realidad es otra. Existen vídeos tomados los días 5 y 6 de enero de 1994, donde aviones Lockheed AT-33 bombardeaban los alrededores de San Cristóbal de Las Casas, Chiapas. Estos vídeos fueron tomados por Amnistía Internacional, e incluyen fotos de esquirlas y pedacería de las bombas o rockets.
Muñoz Molina, Antonio: Sefarad. Una novela de novelas. Madrid: Alfaguara, 2001.	Muñoz Molina, Antonio	Sefarad. Una novela de novelas	2001	Primera edición	Ficción	Escrito	Libro	Novela	España		Ficción		cáncer mineral del paisaje, tan resistente a las embestidas del mar como la roca en la que lo habían cimentado. Pero al cabo de unos miles de años el hormigón también se habrá pulverizado, habrá ínfimos granos grises mezclados con los granos de arena, o serán parte de ella, igual que las esquirlas diminutas de vidrio de botella, que los fragmentos de conchas o de rocas. Para el niño fue una aventura memorable trepar hacia el búnker sujetándose a la mano fuerte de su padre y llegar por un pasadizo con el suelo de arena hacia la cámara interior, iluminada por un rayo polvoriento y oblicuo de sol que
Muñoz Molina, Antonio: Sefarad. Una novela de novelas. Madrid: Alfaguara, 2001.	Muñoz Molina, Antonio	Sefarad. Una novela de novelas	2001	Primera edición	Ficción	Escrito	Libro	Novela	España		Ficción		: la guerra estaba hecha de casualidades así, de cadenas de azares que lo arrastraban a uno o lo salvaban, y su vida podía depender no de su grado de heroísmo, de cautela o de astucia, sino de que se inclinara para atarse una bota un segundo antes de que llegase una bala o una esquirla de metralla al punto del aire donde había estado su cabeza, o de que un compañero le cambiase el turno de una patrulla de exploración de la que no regresaría nadie vivo. Él se había salvado así muchas veces, al filo mismo de una desgracia que abatía a otros, por casualidades, por
Armendáriz Sanz, José Luis: Procesos de cocina. Madrid: Paraninfo, 2001.	Armendáriz Sanz, José Luis	Procesos de cocina	2001	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				Limpieza. Hay que abrirlas con un abreostras para quitarle la concha superior, se limpia de las esquirlas que hayan podido caer de la concha y se separa el bicho, se le retira la barba que tiene alrededor y se vuelve a colocar sobre la concha, sin quitar el agua que pudiera contener.
«¿Por Qué se Caen?». Caretas. Lima: caretas.com.pe, 2001-07-05.		Caretas	2001	Primera edición	No ficción	Escrito	Prensa	Ciencias y tecnología	Perú	Andina	Reportaje	Periodicidad: semanal	cómo, progresivamente, las hélices se detenían frente a nuestros ojos". En los contados segundos que les quedaba, antes que la gravedad hiciera presa de ellos, condujeron el avión tras la línea de viviendas para eyectarse en forma segura. Lamentablemente, al estrellarse, las partes de la nave salieron disparadas cual esquirlas, hiriendo mortalmente a un poblador de la zona.
«Capitula Kunduz». El Nacional. Santo Domingo: elnacional.com.do, 2001-11-25.		El Nacional	2001	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	República Dominicana	Antillas	Noticia		Durante la rendición de un grupo de talibanes en un centro de la Cruz Roja en Mazar-i-Sharif, uno de ellos hizo explotar una granada. Una periodista británica del canal de televisión ITV-News, Andrea Catherwood, resultó herida en la rodilla por un esquirla.
«Choque de Dos Mundos». Caretas. Perú: rcp.net.pe/CARETAS, 2001-09-27.		Caretas	2001	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	Perú	Andina			Las armas biológicas, de igual manera, pueden esparcirse desde una avioneta. Pero también a través de un aerosol, un animal infectado o un misil. Se tiene la sospecha de que los Talibán estarían acondicionando los misiles 'scud' con la bacteria estafilococo, que es la causante de la enfermedad conocida como ántrax. En vez de esquirlas, la explosión diseminaría bacterias mortales capaces de eliminar poblaciones enteras.
«Granitos de España (y II)». Tecno. Madrid: Obrascón Huarte Laín, 2001-03-03.		Tecno	2001	Primera edición	No ficción	Escrito	Prensa	Ciencias y tecnología	España				consiste en un tratamiento térmico a elevada temperatura en la superficie de rocas graníticas, mediante mecheros sencillos o múltiples de oxiacetileno que provocan una temperatura superior a 2.800°C. El paso de una llama con una inclinación de 45° sobre superficies planas produce un shock térmico en los minerales que componen la roca, desprendiendo lajillas y finas esquirlas.
Diament, Mario: Esquirlas. Buenos Aires: celcit.org.ar, 2013-02-27.	Diament, Mario	Esquirlas	2002	Fecha de estreno	Ficción	Escrito	Libro	Teatro	Argentina	Río de la Plata	Ficción	Fecha de publicación: fecha de descarga del texto fuente	CLAUDIA: Nos jodieron... Somos la generación jodida... Nos hicieron explotar como una bomba y salimos disparados en cualquier dirección, como esquirlas... Somos fragmentos de vida... Seres incompletos, amputados... (A DAVID, le toma el rostro) Tu viejo me dijo algo... Fue cuando volví de España y estaba tan desesperada que fui a verlo... Me dijo que cada vez que él subía al escenario para decir un texto en idish, sentía que estaba
Chimal, Carlos: El último año del estero. México D. F.: Editorial Aldus-Consejo Nacional para la Cultura y las Artes, 2002.	Chimal, Carlos	El último año del estero	2002	Primera edición	Ficción	Escrito	Libro	Novela	México	México y Centroamérica	Ficción		Escuela de la Playa llevaban a los hijos de los eurofuckers a las colinas, para que se sintieran orgullosos y aprendieran lo que era regresar en grupo al tenue vientre materno, pues lo más triste es que muchos eran monstruos que, como todos los mutantes, estaban destinados a desaparecer, y esa monstruosidad había sido provocada por las esquirlas de uranio empobrecido que habían traído cargando desde muy lejos sus propios padres. En esas estaban cuando se cerró el canal de Suez. En realidad, María Egipciaca, Suma, Tibi y Angélica habían hecho el viaje por estos engendros, aunque las otras mujeres del puerto, las que tenían algo y querían más,
González Uribe, Guillermo: Los niños de la guerra. Bogotá: Planeta Colombiana, 2002.	González Uribe, Guillermo	Los niños de la guerra	2002	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	Colombia	Caribe continental	Biografía memoria		Amaneció, pero ya se nos iba acabando el parque de municiones de tanto pelear. El 5 de mayo el camarada nos dio la orden de que nos fuéramos retirando, cuando me cayó una esquirla en una pierna; me hirieron la rodilla. Ya me cansé; me salía mucha sangre y me dolía, y estaba encalambrada. Me tocaba pasar un caño para la retirada, pero ya no pude más: me mamé. Herida, con hambre y sueño, dije: «No salgo más». Además me
Cote Baraibar, Ramón: «Mea culpa». Páginas de enmedio. Bogotá: Alfaguara, 2002.	Cote Baraibar, Ramón	Páginas de enmedio	2002	Primera edición	Ficción	Escrito	Libro	Relato	Colombia	Caribe continental	Ficción		el aire y justo en el instante decisivo cortaban los hilos transparentes que sostenían al Salvador. La pesadilla no tenía límites ni conocía la compasión. Llorando y con el corazón latiéndome como una locomotora, sobre mi cama depositaba cada una de las partes e intentaba reconstruirlo nuevamente. Siempre faltaba un ojo, una esquirla del codo y me demoraba buscando los pedazos debajo de las sillas, cada vez más desesperado. El aspersor helado del amanecer me despertaba cuando barría y barría las losas de la iglesia con la remota esperanza de reunir los fragmentos de la sagrada figura. Ya despierto miraba el Cristo de Velázquez en busca de alguna ayuda,
Pollini, Margarita: Palco, cazuela y paraíso. Las historias más insólitas del Teatro Colón. Buenos Aires: Editorial Sudamericana, 2002.	Pollini, Margarita	Palco, cazuela y paraíso. Las historias más insólitas del Teatro Colón	2002	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	Argentina	Río de la Plata	Divulgación		El humo invade la sala, el pánico entra en escena. Las esquirlas del explosivo alcanzan los palcos bajos, y varias personas quedan gravemente heridas. El resto del público grita, corre, tapona las puertas. Giuseppe Anselmi baja del escenario con la intención de asistir a los damnificados. Alguien corre al foso a pedir al director Vitale que se ejecute el Himno Nacional para
Reyes, Roberto: «La ciudad. La herencia de Molfino». La torre y las aves y otros cuentos. Lima: Fondo de Cultura Económica, 2002.	Reyes, Roberto	La torre y las aves y otros cuentos	2002	Primera edición	Ficción	Escrito	Libro	Relato	Perú	Andina	Ficción		Lo cotidiano: un coche-bomba explotó en las mismas narices de la policía. ¿Muertos? Dos transeúntes y un policía; no sé cuántos quedaron heridos. A pesar de los sacos de arena y de la caseta de protección, una esquirla alcanzó al policía de guardia. ¿Y ahora? ¿Vigilarán sus dependencias desde adentro?
Glantz, Margo: El rastro. Barcelona: Anagrama, 2002.	Glantz, Margo	El rastro	2002	Primera edición	Ficción	Escrito	Libro	Novela	México	México y Centroamérica	Ficción		El corazón está protegido por el esternón y las costillas, también por el pericardio: una incisión se practica en medio del tórax, debajo del esternón. Se serrucha el hueso (vuelan las esquirlas) y el pericardio aparece, es la membrana que lo rodea y lo protege, se observan luego las arterias coronarias dañadas, otro cirujano prepara el injerto (a menudo se utiliza parte de la vena safena (de la pierna) o una arteria mamaria se desvía de su rumbo natural). El corazón se saca
Glantz, Margo: El rastro. Barcelona: Anagrama, 2002.	Glantz, Margo	El rastro	2002	Primera edición	Ficción	Escrito	Libro	Novela	México	México y Centroamérica	Ficción		Justus seguía vivo, ya muy débil, pero soportó la anestesia. Rehn hizo una ancha incisión en el esternón, ¡cuánto trabajo para penetrar en el hueso! (las esquirlas volaron), al hacerlo pudo oír mucho más nítidos los débiles latidos del corazón, hizo una nueva incisión, cerca de la quinta costilla, el tórax estaba lleno de sangre coagulada, introdujo uno de sus dedos (¿el cordial?) y sintió que podía tocar el pericardio. Cortó entonces la
Henríquez Gratereaux, Federico: Disparatario. Santo Domingo: Alfa y Omega, 2002.	Henríquez Gratereaux, Federico	Disparatario	2002	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	República Dominicana	Antillas			El periodismo es una trágica actividad intermitente que torna hilachas los pensamientos, que convierte en esquirlas las visiones más amplias y enterizas. Los reporteros de un diario trabajan en forma eruptiva, volcánica, con altibajos de agitada acción y de espera aburrida.
Montero, Mayra: El capitán de los dormidos. Barcelona: Tusquets Editores, 2002.	Montero, Mayra	El capitán de los dormidos	2002	Primera edición	Ficción	Escrito	Libro	Novela	Puerto Rico	Antillas	Ficción		, comentándole algún asunto sobre el hotelito, haciéndolo volver en sí. Lamenté no haberlo obedecido cuando me ordenó que me largara a la playa. Tuve una de esas fantasías estúpidas acerca de que en la playa, tal vez, no me hubiera alcanzado la muerte del barbero, su cara llena de sangre y esquirlas. Y que, metido en el mar, en la orilla repleta de medusas, habría podido conjurar ese mal sueño y convertir este día, el último del mes de octubre, en una tarde tan aburrida y limpia como las de siempre, con los refunfuños de Braulia y el entra y sale de mi padre
Martínez Salguero, Jaime: El combate místico. La Paz: Ediciones Signo, 2002.	Martínez Salguero, Jaime	El combate místico	2002	Primera edición	Ficción	Escrito	Libro	Novela	Bolivia	Andina	Ficción		Con el primer golpe vigoroso, orientado al corazón del tronco, el árbol se remeció, saltaron astillas que besaron el filo del hacha y dijeron: "debemos apresurarnos". Luego, convertidas en filos cortantes, comenzaron a golpear el árbol por todo lado produciendo un torbellino de esquirlas iluminadas y alegres que golpeaban al tronco por arriba, por los lados; se movían en busca de las raíces para roerlas, introduciéndose en la tierra, que se abría mostrando las venas de madera del árbol, que ya no lo era, pues ahora únicamente se veía un cúmulo de hojas y
Miralles, Alberto: El último dragón del Mediterráneo. Madrid: Fundamentos, 2002.	Miralles, Alberto	El último dragón del Mediterráneo	2002	Primera edición	Ficción	Escrito	Libro	Teatro	España		Ficción		(Alguna esquirla golpea la ventana.)
Rojo, Alfonso: Matar para vivir. Barcelona: Plaza y Janés, 2002.	Rojo, Alfonso	Matar para vivir	2002	Primera edición	Ficción	Escrito	Libro	Novela	España		Ficción		Nada de apuntar a la cabeza o preocuparse de hacer blanco. Eso era para los figuras de la competición olímpica. Se disparaba al bulto, un poco por encima de la línea del cinturón. De ahí para arriba, hasta una esquirla hacía daño. El hígado, que quedaba justo a esa altura, era definitivo. Se  notaba por el color oscuro de la sangre. Lo del impacto en el corazón sonaba muy peliculero, pero sólo podía ser fruto de la casualidad y en la vorágine llegaba con un plomazo en los pulmones o el clásico tiro
Grandes, Almudena: Los aires difíciles. Barcelona: Tusquets, 2002.	Grandes, Almudena	Los aires difíciles	2002	Primera edición	Ficción	Escrito	Libro	Novela	España		Ficción		instituto siempre aprobaba la química con sobresaliente, y estuvo experimentando un rato hasta que se despistó, y mezcló dos ácidos con una base y con el contenido de un bote blanco sin identificar que no era lo que parecía, y la probeta estalló, y una mancha verdosa de bordes hirvientes puso perdida la pared mientras las esquirlas de cristal le saltaban a la cara. Su padre se había puesto como una fiera y le había obligado a pintar la pared entera, pero nada había podido borrar la diminuta cicatriz que le recordaba cada mañana, desde el párpado inferior de su ojo derecho, la tarde en la que había estado a punto de quedar
«NOTICIAS INTERNACIONALES». El Puente. Goshen: webelpuente.com, 2002-12-03.		El Puente	2002	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	Estados Unidos	Estados Unidos	Noticia	Periodicidad: bimensual	murieron en el ataque suicida con coche bomba en el hotel de Mombasa frecuentado por turistas israelíes, dijo la policía. Según el Ministerio de Asuntos Exteriores de Israel, tres israelíes murieron en el ataque, entre ellos, dos niños. Entretanto, el Boeing 757 de Arkia Airlines con 261 personas a bordo fue alcanzado por esquirlas después de despegar de Mombasa, aterrizó sin incidentes en Tel Aviv después de ser atacado por al menos un misil, posiblemente dos. Las autoridades israelíes
Rodriguez, Gustavo: «Lanzaron granada en Globovisión». El Universal. Caracas: eluniversal.com, 2002-07-10.	Rodriguez, Gustavo	El Universal	2002	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	Venezuela	Caribe continental	Noticia		Los pesquisas del Departamento de Siniestros y del departamento de Explosivos de la Disip colectaron numerosas esquirlas y una espoleta de la granada que fuera arrojada a la 1:10 de la madrugada de ayer sobre el área de estacionamiento. Los autos que en su mayoría son utilizados por los reporteros resultaron con los parabrisas rotos. El vigilante no pudo observar a los autores materiales, pues el artefacto explosivo fue lanzado desde la calle Los
Rodriguez, Gustavo: «Lanzaron granada en Globovisión». El Universal. Caracas: eluniversal.com, 2002-07-10.	Rodriguez, Gustavo	El Universal	2002	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	Venezuela	Caribe continental	Noticia		Un ingeniero identificado como José Inciarte se encontraba en el área del estacionamiento para el momento de desflagrar la granada, pero no resultó lesionado. Las esquirlas también afectaron una puerta de vidrio que da acceso a los estudios de la planta. Los plomos despedidos por la granada estallaron los neumáticos de los carros.
«Así fue tercer intento guerrillero en Guayatá». El Tiempo. Bogotá: eltiempo.com, 2002-04-09.		El Tiempo	2002	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	Colombia	Caribe continental	Noticia		Durante el primer enfrentamiento dos miembros de la Policía resultaron heridos con esquirlas y fueron trasladados el viernes al hospital de Guateque donde recibieron atención y posteriormente dados de alta.
«Noticias: Síntesis Mundial». Boletín Informativo Buen Pastor. Catamarca: Equipo de Medios de Comunicación de El Buen Pastor Network – Diócesis de Catamarca, 2002-11-10.		Boletín Informativo Buen Pastor	2002	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	Argentina	Río de la Plata			No logro habituarme al abismo de sufrimiento que el pueblo soporta desde hace más de veinte años. Con el miedo de las bombas, en cambio, se aprende a convivir», explica en una entrevista a la revista mensual «Mondo e missione». Ya en 1994 el misionero barnabita fue herido por una esquirla y tuvo que regresar a Italia. Desde entonces, ha recogido una voluminosa documentación sobre la situación de Afganistán, país al que volvió poco después. «Hoy todos hablan de los talibán y de Osama Bin Laden. Pero hasta ayer, ¿quién movió un dedo por las mujeres y los niños afganos? —pregunta—
«Un avión israelí sale indemne de un ataque con misiles en Mombasa». El País. Madrid: elpais.com, 2002-11-28.		El País	2002	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España		Noticia		Aunque varias esquirlas han impactado en el aparato, no han producido daños ni víctimas. El aparato tenía previsto realizar un aterrizaje de emergencia en Nairobi, la capital del país, pero tras comprobar que todos sus sistemas funcionaban correctamente ha continuado su vuelo hacia Tel Aviv, donde ha aterrizado en el aeropuerto internacional Ben Gurion sobre las 11.45 hora
«Francisco Díaz-Faes». La Ratonera. El Entrego: Oris Teatro, 2002-01-03.		La Ratonera	2002	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España			Periodicidad: trimestral	o irlandesas en que el zapateado cobra rasgos estilizados de obra maestra. Mas los artistas son magos de su disciplina, iluminada con brillantez, incluyendo al espectador al que se enfoca con profusión de concierto de rock. Entramados de tirantes, escenario transformado en mecano, y juego de máquinas amoladoras, serruchos mecánicos lanzando esquirlas iluminadas, han llevado al paroxismo del juego y la diversión. Bajo 6 pies enormes bailarines.
Rossel, Arturo: Condenados locatarios. www.dramaturgianacional.cl: Consejo Nacional de la Cultura y las Artes, 2012-11-16.	Rossel, Arturo	Condenados locatarios	2003	Fecha de estreno	Ficción	Escrito	Libro	Teatro	Chile	Chilena	Ficción	Fecha de publicación: fecha de descarga del texto fuente	NOTARIO: (Como si dijera un discurso) El decrépito derecho a la indiferencia que tanto mal le hizo a nuestro eriazo pasado asomó como sol con esquirlas vomitando resquicios, rumor y conventilleo. Todavía me resuena el chisme en mi tímpano herido... luego el chiste y la ramplonería..,
Godoy Durán, Enrique: El origen del viento. Ciudad de Guatemala: s. n., 2003.	Godoy Durán, Enrique	El origen del viento	2003	Primera edición	Ficción	Escrito	Libro	Novela	Guatemala	México y Centroamérica	Ficción		Nada de eso pasó. Regresé para comprobar los efectos de lo que se suponía era la bomba humana con efectos devastadores. La inmolación de Roberto parecía no ser suficiente para terminar con los hombres Teodis. El escudo de niños los habían protegido. De pronto, una segunda explosión se escuchó acompañada de un fogonazo. Las esquirlas salieron a la búsqueda de más víctimas. Los cuerpos mutilados por la primera explosión volaron fuera de la carpa antes que esta cayera estrepitosamente. El lugar quedó sembrado de piel, huesos y órganos humanos como un campo de flores extrañas en el jardín de la muerte. El silencio se apodera del lugar. La carpa
Montemayor, Carlos: Las armas del alba. México D. F.: Joaquín Mortiz, 2003.	Montemayor, Carlos	Las armas del alba	2003	Primera edición	Ficción	Escrito	Libro	Novela	México	México y Centroamérica	Ficción		calle se detuvo; se flexionó, tratando de no concentrarse en el dolor, sino de mover la pierna, de revisar el fusil. Se dio cuenta de que una bala había golpeado primero en el cargador que traía fajado en la cintura y luego descendió, sin penetrar en el músculo, pero acaso hiriendo con esquirlas y quemando.
Pauls, Alan: El pasado. Barcelona: Anagrama, 2003.	Pauls, Alan	El pasado	2003	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción	XXI Premio Herralde de Novela en 2003	proximidad, por contagio físico. "Pobrecito", dijo Sofía, sonriendo al ver que la reconocía. Rímini movió la cabeza y se dio cuenta de que la tenía apoyada sobre su regazo. Quiso incorporarse. Sintió un hormigueo desagradable en la palma de una mano, de donde la enfermera le extraía unas esquirlas de vidrio con una pinza. Rímini vio el charquito de sangre y miró a la enfermera. "No es suya, no se asuste", dijo la enfermera. Rímini se acomodó de costado. Víctor lo saludaba sentado en el borde de la cama, las piernas lampiñas colgando en el vacío. Rímini apoyó una
Pauls, Alan: El pasado. Barcelona: Anagrama, 2003.	Pauls, Alan	El pasado	2003	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata	Ficción	XXI Premio Herralde de Novela en 2003	coincidencia en un puñado de elementos banales, completamente intrascendentes, creyendo que así neutralizaría su dramatismo, pero sus argumentos se estrellaron uno tras otro contra la cortina de llanto que velaba los ojos de Sofía. Entonces recordó una frase: No pretendas convencerme de que no sufro. Un clásico de Sofía: una de esas esquirlas que el amor escupe y deja clavadas en un órgano al que sólo él tiene acceso, de modo que sobreviven a todo, incluso a la extinción del amor, y pasan a ser esenciales para el organismo donde se incrustaron, a tal punto que nadie podría retirarlas sin poner en peligro la vida de su portador
