BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA
Merino, José María: El lugar sin culpa. Madrid: Alfaguara, 2007.	Merino, José María	El lugar sin culpa	2007	Primera edición	Ficción	Escrito	Libro	Novela	España		Ficción		de sus agujeros, los fluidos putrefactos de los cadáveres que empaparían la tierra entre los tomillos. Y con ello, todo lo que, en la escala de los antecesores humanos, pudiese llegar a los primeros visitantes de la isla, de quienes no quedaba otra muestra que unas piedras dudosas, algún fragmento cerámico, una esquirla oxidada.
Cobos Wilkins, Juan: El mar invisible. Barcelona: Plaza & Janés, 2007.	Cobos Wilkins, Juan	El mar invisible	2007	Primera edición	Ficción	Escrito	Libro	Novela	España		Ficción		dolorosamente con el de sus labios pintados, ahora corridos en un trazo; con el de las uñas, ahora partidas. Una rara flor blanca deshecha contra un suelo que olía a zotal. Sobre el rostro, semicubierto por el falso velo, por el ala desgarrada, rota, continuaban lloviendo pequeñas estalactitas hirientes, las esquirlas trizadas de cristal: como mortal azahar de boda.
Cobos Wilkins, Juan: El mar invisible. Barcelona: Plaza & Janés, 2007.	Cobos Wilkins, Juan	El mar invisible	2007	Primera edición	Ficción	Escrito	Libro	Novela	España		Ficción		Me alejé presuroso de allí y busqué asiento en los bancos que rodean el estanque del Palacio de Cristal. Por un tronco trepaba una pareja de ardillas persiguiéndose. Una esquirla de la botella se me había clavado en la suela del zapato y el vidrio verde brillaba con el sol. Pasaron los minutos. Pensé en Isabel, en mi madre, mi abuelo, en el padre que no recordaba, en su traje vacío en una percha del ropero... Pensé en mí, tumbado
Cobos Wilkins, Juan: El mar invisible. Barcelona: Plaza & Janés, 2007.	Cobos Wilkins, Juan	El mar invisible	2007	Primera edición	Ficción	Escrito	Libro	Novela	España		Ficción		Desde la cama, alargo el brazo y, a tientas, introduzco la mano en la bolsa de plástico; palpo esos añicos, los reconoce el tacto: pequeños fragmentos de carbonato cálcico que contuvieron un mar, que me tuvieron. La esquirla hiriente de uno, su arista afiladísima, me perfora la piel del dedo anular. Instintivamente me lo llevo a los labios: ¿a qué sabe la sangre?, ¿sabe a muerte la sangre?, ¿a vida? Indiferente, como si fuese ya de otro, miro la incisión, la invisible
Grandes, Almudena: El corazón helado. Barcelona: Tusquets Editores, 2007.	Grandes, Almudena	El corazón helado	2007	Primera edición	Ficción	Escrito	Libro	Novela	España		Ficción		Cuando salí de casa de Raquel amanecía, y en las aceras sucias, entre los coches mal aparcados, bajo la pálida cortina de las últimas risas, esa languideciente, voluntariosa algarabía de los trasnochadores tenaces, no encontré el menor rastro, ni una mínima, solitaria esquirla, de esa frase tan importante que había saltado en un millón de pedazos diminutos, infinitesimales, subatómicos, sin ningún dolor, ninguna resistencia por mi parte. No puedo decir que no me diera cuenta. Lo que pasó fue que me dio lo mismo. Y mientras volvía a casa andando, las impredecibles consecuencias de
Grandes, Almudena: El corazón helado. Barcelona: Tusquets Editores, 2007.	Grandes, Almudena	El corazón helado	2007	Primera edición	Ficción	Escrito	Libro	Novela	España		Ficción		la bicicleta saltara por los aires y yo con ella. Aterricé de perfil sobre uno de los pedales de la bici del chico que marchaba, y que cayó, detrás de mí. Era un modelo antiguo, de bordes dentados, y el filo metálico se me clavó en la pantorrilla izquierda como si fuera una esquirla de metralla.
Ndongo-Bidyogo, Donato: El metro. Barcelona: El Cobre Ediciones, 2007.	Ndongo-Bidyogo, Donato	El metro	2007	Primera edición	Ficción	Escrito	Libro	Novela	Guinea Ecuatorial	Guinea Ecuatorial	Ficción		pararon. Desde luego, el frío de Madrid era mucho más soportable que el aire congelado que les recibió en aquella venta incrustada en un páramo desolado de la provincia de Albacete. Las cuatro zancadas que les separaban del interior climatizado del restaurante le parecieron a Obama Ondo una distancia insalvable: sentía la cara lacerada por diminutas esquirlas de cristal; y el suelo nevado, una nieve helada y resbalosa, en la que se hundían los pies y se hacía difícil caminar. No. Jamás se acostumbraría a esos climas suicidas, porque los cuatro pasos fueron suficientes para que se reconociese enfermo: se había resfriado, notaba el aire gélido alojado en su
Salinas Ortegón, Manuel: «A pesar de problemas y críticas, Uribe mantiene su popularidad». El País. Cali: elpais.com.co, 2007-08-06.	Salinas Ortegón, Manuel	El País	2007	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	Colombia	Caribe continental			Ni las esquirlas de la parapolítica ni los problemas del TLC en el Congreso de Estado Unidos; ni siquiera los choques con la Corte Suprema o los problemas del acuerdo humanitario han logrado que la imagen del presidente Álvaro Uribe Vélez sufra impactos significativos.
Samper Pizano, Daniel: «Una botella viene flotando ». La Razón. La Paz: la-razon.com, 2007-11-10.	Samper Pizano, Daniel	La Razón	2007	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Bolivia	Andina			de aquella triste mañana (o tarde: es igual), fue transportado a la costa francesa. De allí marchó al combate, y ocurrió tal vez que el primer día de batalla fue también el último para él. Bajo el fragor de la pólvora, murió de un disparo certero en la cabeza, o una esquirla de granada en el corazón, o ensartado por una bayoneta; pudo ser, incluso, que se convirtiera en lo que la OTAN denomina "daño colateral": un compañero lo confundió con un oso y le metió un cañonazo. Digo, una suposición.
«Teatro. Los amigos que no coinciden». Siete. Panamá: epasa.com/siete, 2007-08-05.		Siete	2007	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	Panamá	México y Centroamérica			Ha sido Fundador de Esquirla y ganador de Premio Escena a mejor director en el 2005 con el "Fantasma de Canterville".
«Cómo trabaja la Policía Técnica. Los ojos por los que otros ven». El País digital. Tecno. Montevideo: elpais.com.uy/suple/tecno, 2007-03-16.		El País digital. Tecno	2007	Primera edición	No ficción	Escrito	Prensa	Ciencias y tecnología	Uruguay	Río de la Plata			. Se trabaja mucho con los fluidos corporales sometidos al análisis de ADN y los rastros dactilares, que son estudiados para la identificación de el o los posibles autores del hecho", señaló. También se realizan otro tipo de estudio como los balísticos, "que implica armas y derivados como proyectiles, cartuchos, esquirlas, vainas, vehículos que puedan haber sido afectados por la trayectoria de los proyectiles".
«Libros. En busca de la salud perdida». Médicos. Buenos Aires: revistamedicos.com.ar, 2007-09.		Médicos	2007	Primera edición	No ficción	Escrito	Prensa	Salud	Argentina	Río de la Plata		Periodicidad: bimestral	Un sistema fragmentado ya deja de ser un sistema. Y esas esquirlas, disparadas en todas direcciones, son fieles reflejos de la dispersión que sufre el campo de la salud en la Argentina. Los problemas se atomizan y estallan individualmente: corrupción en hospitales, ineficiencia, enfermedades endémicas. Uno atrás de otro, aparecen en la crónica periodística, sin que se destaque que todos obedecen a una
«Un meteorito causa un cráter de 30 metros en la frontera entre Perú y Bolivia». El País.com. Madrid: elpais.com, 2007-09-17.		El País.com	2007	Primera edición	No ficción	Escrito	Prensa	Ciencias y tecnología	España				Los campesinos de la zona han declarado a los medios locales que temen que se produzca el brote de alguna enfermedad por el desprendimiento de esquirlas de plomo y plata que dejó el meteorito al precipitarse a tierra.
Padilla de León, Freddy; Bejarano Marín, Jesús Alberto: Testigos Fieles. Víctimas del horror de las Minas Antipersonal. Bogotá: fuerzasmilitares.mil.co, 2008.	Padilla de León, Freddy; Bejarano Marín, Jesús Alberto	Testigos Fieles. Víctimas del horror de las Minas Antipersonal	2008	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	Colombia	Caribe continental			Es la más común de todas. La utilizan enterrándola para que explote al ser pisada. La descarga hace que la persona muera o sufra lesiones graves que conllevan la amputación de uno o varios de sus miembros. También son comunes las esquirlas y quemaduras en el rostro y otras partes del cuerpo. Las 'quiebrapatas' son las minas terrestres más usadas en Colombia y las que más víctimas cobran. De fabricación casera, la carga principal está compuesta generalmente por dinamita combinada con nitrato de amonio que se acciona a través de un sistema de ignición eléctrica. Los materiales
Padilla de León, Freddy; Bejarano Marín, Jesús Alberto: Testigos Fieles. Víctimas del horror de las Minas Antipersonal. Bogotá: fuerzasmilitares.mil.co, 2008.	Padilla de León, Freddy; Bejarano Marín, Jesús Alberto	Testigos Fieles. Víctimas del horror de las Minas Antipersonal	2008	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	Colombia	Caribe continental			Varias esquirlas se le incrustaron en la cabeza, afectándole el ojo y el oído izquierdo. Los otros dos hombres no sufrieron ni un rasguño. Ciertamente un verdadero milagro porque el potrero estaba completamente minado, según comprobó el Ejército unos días después.
Padilla de León, Freddy; Bejarano Marín, Jesús Alberto: Testigos Fieles. Víctimas del horror de las Minas Antipersonal. Bogotá: fuerzasmilitares.mil.co, 2008.	Padilla de León, Freddy; Bejarano Marín, Jesús Alberto	Testigos Fieles. Víctimas del horror de las Minas Antipersonal	2008	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	Colombia	Caribe continental			de fuerza de la onda explosiva fracturó en múltiples pedazos su mano derecha y lo dejó ciego. También lanzó su cuerpo hacia atrás y luego lo regresó hasta dejarlo boca abajo. "Un artefacto explosivo de esas características puede generar entre tres y cuatro mil grados centígrados de temperatura que, sumados a la tierra y a las esquirlas que me cayeron en los ojos, hicieron que perdiera la vista". Como no escuchaba que nadie se le acercara, volvió a su posición inicial apoyándose en su brazo izquierdo. "En esos tres o cuatro segundos que transcurrieron después de la explosión, mi humanidad quedó cubierta por la humareda".
Padilla de León, Freddy; Bejarano Marín, Jesús Alberto: Testigos Fieles. Víctimas del horror de las Minas Antipersonal. Bogotá: fuerzasmilitares.mil.co, 2008.	Padilla de León, Freddy; Bejarano Marín, Jesús Alberto	Testigos Fieles. Víctimas del horror de las Minas Antipersonal	2008	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	Colombia	Caribe continental			ese grupo efectuó tal acción. La onda explosiva levantó su cuerpo por los aires y la lanzó doce metros adelante. Aturdida intentó pararse del piso y en aquel momento se percató que la parte inferior de su pierna izquierda literalmente colgaba de unos cuantos músculos y tendones. La derecha presentaba cortes profundos producidos por las esquirlas del artefacto explosivo.
González de Alba, Luis: Otros días, otros años. México D. F.: Planeta, 2008.	González de Alba, Luis	Otros días, otros años	2008	Primera edición	Ficción	Escrito	Libro	Novela	México	México y Centroamérica	Ficción		ahora, que viera "miles" de muertos tirados en la plaza. Te señalo dos contradicciones: una, que a todos nos pusieron contra la pared, lejos del barandal, desde los primeros balazos; luego nos hicieron tirarnos al suelo cuando la balacera arreció, también a Oriana, por cierto herida por esquirla de rebote, y nadie pudo ver la plaza, ni volteando y no dejaban voltear, yo oí cómo golpearon a alguien que desobedeció, es de lo que estuve escribiendo apenas ayer; dos, que aunque te hubieras arriesgado a que te volara la cabeza un balazo al asomarte sobre el barandal de concreto,
